international_id,name_en,name_cn
2091,NOCK-TEN,洛坦
2092,MUIFA,梅花
2093,MERBOK,苗柏
2094,NANMADOL,南玛都
2095,TALAS,塔拉斯
2096,NORU,奥鹿
2097,KULAP,玫瑰
2098,ROKE,洛克
2099,SONCA,桑卡
2100,NESAT,纳沙
2101,HAITANG,海棠
2102,NALGAE,尼格
2103,BANYAN,榕树
2104,WASHI,天鹰
2105,PAKHAR,帕卡
2106,SANVU,珊瑚
2107,MAWAR,玛娃
2108,GUCHOL,古超
2109,TALIM,泰利
2110,DOKSURI,杜苏芮
2111,KHANUN,卡努
2112,LAN,兰恩
2113,SAOLA,苏拉
2114,DAMREY,达维
2115,HAIKUI,海葵
2116,KIROGI,鸿雁
2117,YUN-YEUNG,鸳鸯
2118,KOINU,小犬
2119,BOLAVEN,布拉万
2120,SANBA,三巴
2121,JELAWAT,杰拉华
2122,EWINIAR,艾云尼
2123,MALIKSI,马力斯
2124,GAEMI,格美
2125,PRAPIROON,派比安
2126,MARIA,玛莉亚
2127,SON-TINH,山神
2128,AMPIL,安比
2129,WUKONG,悟空
2130,JONGDARI,云雀
2131,SHANSHAN,珊珊
2132,YAGI,摩羯
2133,LEEPI,丽琵
2134,BEBINCA,贝碧嘉
2135,RUMBIA,温比亚
2136,SOULIK,苏力
2137,CIMARON,西马仑
2138,JEBI,飞燕
2139,MANGKHUT,山竹
2140,UTOR,尤特
2141,BARIJAT,巴里嘉
2142,TRAMI,潭美
2143,KONG-REY,康妮
2144,YUTU,玉兔
2145,TORAJI,桃芝
2146,MAN-YI,万宜
2147,USAGI,天兔
2148,PABUK,帕布
2149,WUTIP,蝴蝶
2150,SEPAT,圣帕
2151,MUN,木恩
2152,DANAS,丹娜丝
2153,NARI,百合
2154,WIPHA,韦帕
2155,FRANCISCO,范斯高
2156,LEKIMA,利奇马
2157,KROSA,罗莎
2158,BAILU,白鹿
2159,PODUL,杨柳
2160,LINGLING,玲玲
2161,KAJIKI,剑鱼
2162,FAXAI,法茜
2163,TAPAH,塔巴
2164,MITAG,米娜
2165,HAGIBIS,海贝思
2166,NEOGURI,浣熊
2167,BUALOI,博罗依
2168,MATMO,麦德姆
2169,HALONG,夏浪
2170,NAKRI,娜基莉
2171,FENGSHEN,风神
2172,KALMAEGI,海鸥
2173,FUNG-WONG,凤凰
2174,KAMMURI,北冕
2175,PHANFONE,巴蓬
2176,VONGFONG,黄蜂
2177,NURI,鹦鹉
2178,SINLAKU,森拉克
2179,HAGUPIT,黑格比
2180,CHANGMI,蔷薇
2181,MEKKHALA,米克拉
2182,HIGOS,海高斯
2183,BAVI,巴威
2184,MAYSAK,美莎克
2185,HAISHEN,海神
2186,NOUL,红霞
2187,DOLPHIN,白海豚
2188,KUJIRA,鲸鱼
2189,CHAN-HOM,灿鸿
2190,LINFA,莲花
2191,NANGKA,浪卡
2192,SOUDELOR,苏迪罗
2193,MOLAVE,莫拉菲
2194,GONI,天鹅
2195,ATSANI,艾莎尼
2196,ETAU,艾涛
2197,VAMCO,环高
2198,KROVANH,科罗旺
2199,DUJUAN,杜鹃
2200,SURIGAE,舒力基
2201,CHOI-WAN,彩云
2202,KOGUMA,小熊
2203,CHAMPI,蔷琵
2204,IN-FA,烟花
2205,CEMPAKA,查帕卡
2206,NEPARTAK,尼伯特
2207,LUPIT,卢碧
2208,MIRINAE,银河
2209,NIDA,妮妲
2210,OMAIS,奥麦斯
2211,CONSON,康森
2212,CHANTHU,灿都
2213,DIANMU,电母
2214,MINDULLE,蒲公英
2215,LIONROCK,狮子山
2216,KOMPASU,圆规
2217,NAMTHEUN,南川
2218,MALOU,玛瑙
2219,NYATOH,妮亚图
2220,RAI,雷伊
2221,MALAKAS,马勒卡
2222,MEGI,鲇鱼
2223,CHABA,暹芭
2224,AERE,艾利
2225,SONGDA,桑达
2226,TRASES,翠丝
2227,MULAN,木兰
2228,MEARI,米雷
2229,MA-ON,马鞍
2230,TOKAGE,蝎虎
2231,HINNAMNOR,轩岚诺
2232,MUIFA,梅花
2233,MERBOK,苗柏
2234,NANMADOL,南玛都
2235,TALAS,塔拉斯
2236,NORU,奥鹿
2237,KULAP,玫瑰
2238,ROKE,洛克
2239,SONCA,桑卡
2240,NESAT,纳沙
2241,HAITANG,海棠
2242,NALGAE,尼格
2243,BANYAN,榕树
2244,YAMANEKO,山猫
2245,PAKHAR,帕卡
2246,SANVU,珊瑚
2247,MAWAR,玛娃
2248,GUCHOL,古超
2249,TALIM,泰利
2250,DOKSURI,杜苏芮
2251,KHANUN,卡努
2252,LAN,兰恩
2253,SAOLA,苏拉
2254,DAMREY,达维
2255,HAIKUI,海葵
2256,KIROGI,鸿雁
2257,YUN-YEUNG,鸳鸯
2258,KOINU,小犬
2259,BOLAVEN,布拉万
2260,SANBA,三巴
2261,JELAWAT,杰拉华
2262,EWINIAR,艾云尼
2263,MALIKSI,马力斯
2264,GAEMI,格美
2265,PRAPIROON,派比安
2266,MARIA,玛莉亚
2267,SON-TINH,山神
2268,AMPIL,安比
2269,WUKONG,悟空
2270,JONGDARI,云雀
2271,SHANSHAN,珊珊
2272,YAGI,摩羯
2273,LEEPI,丽琵
2274,BEBINCA,贝碧嘉
2275,PULASAN,普拉桑
2276,SOULIK,苏力
2277,CIMARON,西马仑
2278,JEBI,飞燕
2279,KRATHON,山陀儿
2280,BARIJAT,巴里嘉
2281,TRAMI,潭美
2282,KONG-REY,康妮
2283,YINXING,银杏
2284,TORAJI,桃芝
2285,MAN-YI,万宜
2286,USAGI,天兔
2287,PABUK,帕布
2288,WUTIP,蝴蝶
2289,SEPAT,圣帕
2290,MUN,木恩
2291,DANAS,丹娜丝
2292,NARI,百合
2293,WIPHA,韦帕
2294,FRANCISCO,范斯高
2295,LEKIMA,利奇马
2296,KROSA,罗莎
2297,BAILU,白鹿
2298,PODUL,杨柳
2299,LINGLING,玲玲
2300,KAJIKI,剑鱼
2301,FAXAI,法茜
2302,TAPAH,塔巴
2303,MITAG,米娜
2304,HAGIBIS,海贝思
2305,NEOGURI,浣熊
2306,BUALOI,博罗依
2307,MATMO,麦德姆
2308,HALONG,夏浪
2309,NAKRI,娜基莉
2310,FENGSHEN,风神
2311,KALMAEGI,海鸥
2312,FUNG-WONG,凤凰
2313,KOTO,科托
2314,NOKAEN,诺卡恩
2315,PENHA,佩娜
2316,PHANFONE,巴蓬
2317,VONGFONG,黄蜂
2318,NURI,鹦鹉
2319,SINLAKU,森拉克
2320,HAGUPIT,黑格比
2321,CHANGMI,蔷薇
2322,MEKKHALA,米克拉
2323,HIGOS,海高斯
2324,BAVI,巴威
2325,MAYSAK,美莎克
2326,HAISHEN,海神
2327,NOUL,红霞
2328,DOLPHIN,白海豚
2329,KUJIRA,鲸鱼
2330,CHAN-HOM,灿鸿
2331,LINFA,莲花
2332,NANGKA,浪卡
2333,SOUDELOR,苏迪罗
2334,MOLAVE,莫拉菲
2335,GONI,天鹅
2336,ATSANI,艾莎尼
2337,ETAU,艾涛
2338,VAMCO,环高
2339,KROVANH,科罗旺
2340,DUJUAN,杜鹃
2341,SURIGAE,舒力基
2342,CHOI-WAN,彩云
2343,KOGUMA,小熊
2344,CHAMPI,蔷琵
2345,IN-FA,烟花
2346,CEMPAKA,查帕卡
2347,NEPARTAK,尼伯特
2348,LUPIT,卢碧
2349,MIRINAE,银河
2350,NIDA,妮妲
2351,OMAIS,奥麦斯
2352,CONSON,康森
2353,CHANTHU,灿都
2354,DIANMU,电母
2355,MINDULLE,蒲公英
2356,LIONROCK,狮子山
2357,KOMPASU,圆规
2358,NAMTHEUN,南川
2359,MALOU,玛瑙
2360,NYATOH,妮亚图
2361,RAI,雷伊
2362,MALAKAS,马勒卡
2363,MEGI,鲇鱼
2364,CHABA,暹芭
2365,AERE,艾利
2366,SONGDA,桑达
2367,TRASES,翠丝
2368,MULAN,木兰
2369,MEARI,米雷
2370,MA-ON,马鞍
2371,TOKAGE,蝎虎
2372,HINNAMNOR,轩岚诺
2373,MUIFA,梅花
2374,MERBOK,苗柏
2375,NANMADOL,南玛都
2376,TALAS,塔拉斯
2377,NORU,奥鹿
2378,KULAP,玫瑰
2379,ROKE,洛克
2380,SONCA,桑卡
2381,NESAT,纳沙
2382,HAITANG,海棠
2383,NALGAE,尼格
2384,BANYAN,榕树
2385,YAMANEKO,山猫
2386,PAKHAR,帕卡
2387,SANVU,珊瑚
2388,MAWAR,玛娃
2389,GUCHOL,古超
2390,TALIM,泰利
2391,DOKSURI,杜苏芮
2392,KHANUN,卡努
2393,LAN,兰恩
2394,SAOLA,苏拉
2395,DAMREY,达维
2396,HAIKUI,海葵
2397,KIROGI,鸿雁
2398,YUN-YEUNG,鸳鸯
2399,KOINU,小犬
2400,BOLAVEN,布拉万
2401,SANBA,三巴
2402,JELAWAT,杰拉华
2403,EWINIAR,艾云尼
2404,MALIKSI,马力斯
2405,GAEMI,格美
2406,PRAPIROON,派比安
2407,MARIA,玛莉亚
2408,SON-TINH,山神
2409,AMPIL,安比
2410,WUKONG,悟空
2411,JONGDARI,云雀
2412,SHANSHAN,珊珊
2413,YAGI,摩羯
2414,LEEPI,丽琵
2415,BEBINCA,贝碧嘉
2416,PULASAN,普拉桑
2417,SOULIK,苏力
2418,CIMARON,西马仑
2419,JEBI,飞燕
2420,KRATHON,山陀儿
2421,BARIJAT,巴里嘉
2422,TRAMI,潭美
2423,KONG-REY,康妮
2424,YINXING,银杏
2425,TORAJI,桃芝
2426,MAN-YI,万宜
2427,USAGI,天兔
2428,PABUK,帕布
2429,WUTIP,蝴蝶
2430,SEPAT,圣帕
2431,MUN,木恩
2432,DANAS,丹娜丝
2433,NARI,百合
2434,WIPHA,韦帕
2435,FRANCISCO,范斯高
2436,LEKIMA,利奇马
2437,KROSA,罗莎
2438,BAILU,白鹿
2439,PODUL,杨柳
2440,LINGLING,玲玲
2441,KAJIKI,剑鱼
2442,FAXAI,法茜
2443,TAPAH,塔巴
2444,MITAG,米娜
2445,HAGIBIS,海贝思
2446,NEOGURI,浣熊
2447,BUALOI,博罗依
2448,MATMO,麦德姆
2449,HALONG,夏浪
2450,NAKRI,娜基莉
2451,FENGSHEN,风神
2452,KALMAEGI,海鸥
2453,FUNG-WONG,凤凰
2454,KOTO,科托
2455,NOKAEN,诺卡恩
2456,PENHA,佩娜
2457,PHANFONE,巴蓬
2458,VONGFONG,黄蜂
2459,NURI,鹦鹉
2460,SINLAKU,森拉克
2461,HAGUPIT,黑格比
2462,CHANGMI,蔷薇
2463,MEKKHALA,米克拉
2464,HIGOS,海高斯
2465,BAVI,巴威
2466,MAYSAK,美莎克
2467,HAISHEN,海神
2468,NOUL,红霞
2469,DOLPHIN,白海豚
2470,KUJIRA,鲸鱼
2471,CHAN-HOM,灿鸿
2472,LINFA,莲花
2473,NANGKA,浪卡
2474,SOUDELOR,苏迪罗
2475,MOLAVE,莫拉菲
2476,GONI,天鹅
2477,ATSANI,艾莎尼
2478,ETAU,艾涛
2479,VAMCO,环高
2480,KROVANH,科罗旺
2481,DUJUAN,杜鹃
2482,SURIGAE,舒力基
2483,CHOI-WAN,彩云
2484,KOGUMA,小熊
2485,CHAMPI,蔷琵
2486,IN-FA,烟花
2487,CEMPAKA,查帕卡
2488,NEPARTAK,尼伯特
2489,LUPIT,卢碧
2490,MIRINAE,银河
2491,NIDA,妮妲
2492,OMAIS,奥麦斯
2493,CONSON,康森
2494,CHANTHU,灿都
2495,DIANMU,电母
2496,MINDULLE,蒲公英
2497,LIONROCK,狮子山
2498,KOMPASU,圆规
2499,NAMTHEUN,南川
2500,MALOU,玛瑙
2501,NYATOH,妮亚图
2502,RAI,雷伊
2503,MALAKAS,马勒卡
2504,MEGI,鲇鱼
2505,CHABA,暹芭
2506,AERE,艾利
2507,SONGDA,桑达
2508,TRASES,翠丝
2509,MULAN,木兰
2510,MEARI,米雷
2511,MA-ON,马鞍
2512,TOKAGE,蝎虎
2513,HINNAMNOR,轩岚诺
2514,MUIFA,梅花
2515,MERBOK,苗柏
2516,NANMADOL,南玛都
2517,TALAS,塔拉斯
2518,NORU,奥鹿
2519,KULAP,玫瑰
2520,ROKE,洛克
2521,SONCA,桑卡
2522,NESAT,纳沙
2523,HAITANG,海棠
2524,NALGAE,尼格
2525,BANYAN,榕树
2526,YAMANEKO,山猫
2527,PAKHAR,帕卡
2528,SANVU,珊瑚
2529,MAWAR,玛娃
2530,GUCHOL,古超
2531,TALIM,泰利
2532,DOKSURI,杜苏芮
2533,KHANUN,卡努
2534,LAN,兰恩
2535,SAOLA,苏拉
2536,DAMREY,达维
2537,HAIKUI,海葵
2538,KIROGI,鸿雁
2539,YUN-YEUNG,鸳鸯
2540,KOINU,小犬
2541,BOLAVEN,布拉万
2542,SANBA,三巴
2543,JELAWAT,杰拉华
2544,EWINIAR,艾云尼
2545,MALIKSI,马力斯
2546,GAEMI,格美
2547,PRAPIROON,派比安
2548,MARIA,玛莉亚
2549,SON-TINH,山神
2550,AMPIL,安比
2551,WUKONG,悟空
2552,JONGDARI,云雀
2553,SHANSHAN,珊珊
2554,YAGI,摩羯
2555,LEEPI,丽琵
2556,BEBINCA,贝碧嘉
2557,PULASAN,普拉桑
2558,SOULIK,苏力
2559,CIMARON,西马仑
2560,JEBI,飞燕
2561,KRATHON,山陀儿
2562,BARIJAT,巴里嘉
2563,TRAMI,潭美
2564,KONG-REY,康妮
2565,YINXING,银杏
2566,TORAJI,桃芝
2567,MAN-YI,万宜
2568,USAGI,天兔
2569,PABUK,帕布
2570,WUTIP,蝴蝶
2571,SEPAT,圣帕
